instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt,cluster
1,734138,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,low
2,734139,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,low
3,734140,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,1349,low
4,734141,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,1562,low
5,734142,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,1600,low
6,734143,1,0,1,0,4,1,1,0.204348,0.23320900000000006,0.518261,0.0895652,1606,low
7,734144,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,1510,low
8,734145,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,959,low
9,734146,1,0,1,0,0,0,1,0.13833299999999998,0.116175,0.434167,0.36195,822,low
10,734147,1,0,1,0,1,1,1,0.150833,0.15088800000000002,0.482917,0.223267,1321,low
11,734148,1,0,1,0,2,1,2,0.16909100000000002,0.191464,0.6863640000000001,0.122132,1263,low
12,734149,1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,1162,low
13,734150,1,0,1,0,4,1,1,0.165,0.150883,0.470417,0.301,1406,low
14,734151,1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,1421,low
15,734152,1,0,1,0,6,0,2,0.233333,0.248112,0.49875,0.15796300000000002,1248,low
16,734153,1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,1204,low
17,734154,1,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,1000,low
18,734155,1,0,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,683,low
19,734156,1,0,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,1650,low
20,734157,1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,1927,low
21,734158,1,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,1543,low
22,734159,1,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,981,low
23,734160,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,986,low
24,734161,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,1416,low
25,734162,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,1985,low
26,734163,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,506,low
27,734164,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,431,low
28,734165,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,1167,low
29,734166,1,0,1,0,6,0,1,0.196522,0.212126,0.6517390000000001,0.14536500000000002,1098,low
30,734167,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,1096,low
31,734168,1,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,1501,low
32,734169,1,0,2,0,2,1,2,0.192174,0.23453,0.829565,0.053213,1360,low
33,734170,1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,1526,low
34,734171,1,0,2,0,4,1,1,0.186957,0.177878,0.4378260000000001,0.277752,1550,low
35,734172,1,0,2,0,5,1,2,0.211304,0.228587,0.585217,0.127839,1708,low
36,734173,1,0,2,0,6,0,2,0.233333,0.243058,0.929167,0.161079,1005,low
37,734174,1,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,1623,low
38,734175,1,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.045408300000000006,1712,low
39,734176,1,0,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,1530,low
40,734177,1,0,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,1605,low
41,734178,1,0,2,0,4,1,1,0.144348,0.149548,0.437391,0.221935,1538,low
42,734179,1,0,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,1746,low
43,734180,1,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.203367,1472,low
44,734181,1,0,2,0,0,0,1,0.316522,0.324113,0.457391,0.260883,1589,low
45,734182,1,0,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,1913,low
46,734183,1,0,2,0,2,1,1,0.266087,0.254274,0.314348,0.291374,1815,low
47,734184,1,0,2,0,3,1,1,0.318261,0.3162,0.423478,0.251791,2115,low
48,734185,1,0,2,0,4,1,1,0.435833,0.428658,0.505,0.230104,2475,low
49,734186,1,0,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925,2927,mid
50,734187,1,0,2,0,6,0,1,0.399167,0.391404,0.187917,0.507463,1635,low
51,734188,1,0,2,0,0,0,1,0.285217,0.27733,0.407826,0.223235,1812,low
52,734189,1,0,2,1,1,0,2,0.303333,0.284075,0.605,0.307846,1107,low
53,734190,1,0,2,0,2,1,1,0.182222,0.186033,0.577778,0.195683,1450,low
54,734191,1,0,2,0,3,1,1,0.221739,0.245717,0.423043,0.094113,1917,low
55,734192,1,0,2,0,4,1,2,0.295652,0.289191,0.697391,0.250496,1807,low
56,734193,1,0,2,0,5,1,2,0.364348,0.350461,0.712174,0.346539,1461,low
57,734194,1,0,2,0,6,0,1,0.2825,0.282192,0.537917,0.186571,1969,low
58,734195,1,0,2,0,0,0,1,0.343478,0.351109,0.68,0.125248,2402,low
59,734196,1,0,2,0,1,1,2,0.407273,0.400118,0.8763639999999999,0.289686,1446,low
60,734197,1,0,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,1851,low
61,734198,1,0,3,0,3,1,1,0.335,0.320071,0.449583,0.307833,2134,low
62,734199,1,0,3,0,4,1,1,0.198333,0.200133,0.318333,0.225754,1685,low
63,734200,1,0,3,0,5,1,2,0.261667,0.255679,0.610417,0.203346,1944,low
64,734201,1,0,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,2077,low
65,734202,1,0,3,0,0,0,2,0.376522,0.366252,0.948261,0.343287,605,low
66,734203,1,0,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352,1872,low
67,734204,1,0,3,0,2,1,1,0.2925,0.3024,0.420833,0.12065,2133,low
68,734205,1,0,3,0,3,1,2,0.295833,0.286608,0.775417,0.22015,1891,low
69,734206,1,0,3,0,4,1,3,0.389091,0.385668,0.0,0.261877,623,low
70,734207,1,0,3,0,5,1,2,0.316522,0.305,0.649565,0.23297,1977,low
71,734208,1,0,3,0,6,0,1,0.329167,0.32575,0.594583,0.220775,2132,low
72,734209,1,0,3,0,0,0,1,0.384348,0.380091,0.5273909999999999,0.270604,2417,low
73,734210,1,0,3,0,1,1,1,0.32521700000000003,0.332,0.496957,0.136926,2046,low
74,734211,1,0,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,2056,low
75,734212,1,0,3,0,3,1,2,0.365217,0.36693,0.776522,0.203117,2192,low
76,734213,1,0,3,0,4,1,1,0.415,0.410333,0.602917,0.209579,2744,mid
77,734214,1,0,3,0,5,1,1,0.54,0.5270090000000001,0.525217,0.231017,3239,mid
78,734215,1,0,3,0,6,0,1,0.4725,0.466525,0.379167,0.368167,3117,mid
79,734216,1,0,3,0,0,0,1,0.3325,0.32575,0.47375,0.207721,2471,low
80,734217,2,0,3,0,1,1,2,0.430435,0.409735,0.737391,0.288783,2077,low
81,734218,2,0,3,0,2,1,1,0.441667,0.440642,0.624583,0.22575,2703,low
82,734219,2,0,3,0,3,1,2,0.346957,0.337939,0.839565,0.234261,2121,low
83,734220,2,0,3,0,4,1,2,0.285,0.270833,0.805833,0.243787,1865,low
84,734221,2,0,3,0,5,1,1,0.264167,0.256312,0.495,0.230725,2210,low
85,734222,2,0,3,0,6,0,1,0.265833,0.257571,0.394167,0.209571,2496,low
86,734223,2,0,3,0,0,0,2,0.253043,0.250339,0.493913,0.1843,1693,low
87,734224,2,0,3,0,1,1,1,0.264348,0.257574,0.302174,0.212204,2028,low
88,734225,2,0,3,0,2,1,1,0.3025,0.292908,0.31416700000000003,0.226996,2425,low
89,734226,2,0,3,0,3,1,2,0.3,0.29735,0.646667,0.172888,1536,low
90,734227,2,0,3,0,4,1,3,0.268333,0.257575,0.918333,0.217646,1685,low
91,734228,2,0,4,0,5,1,2,0.3,0.283454,0.68625,0.258708,2227,low
92,734229,2,0,4,0,6,0,2,0.315,0.315637,0.65375,0.197146,2252,low
93,734230,2,0,4,0,0,0,1,0.378333,0.378767,0.48,0.182213,3249,mid
94,734231,2,0,4,0,1,1,1,0.573333,0.542929,0.42625,0.385571,3115,mid
95,734232,2,0,4,0,2,1,2,0.414167,0.39835,0.642083,0.388067,1795,low
96,734233,2,0,4,0,3,1,1,0.390833,0.387608,0.470833,0.263063,2808,mid
97,734234,2,0,4,0,4,1,1,0.4375,0.433696,0.602917,0.16231199999999998,3141,mid
98,734235,2,0,4,0,5,1,2,0.335833,0.324479,0.83625,0.226992,1471,low
99,734236,2,0,4,0,6,0,2,0.3425,0.341529,0.8775,0.13308299999999998,2455,low
100,734237,2,0,4,0,0,0,2,0.426667,0.426737,0.8575,0.146767,2895,mid
101,734238,2,0,4,0,1,1,2,0.5956520000000001,0.565217,0.716956,0.324474,3348,mid
102,734239,2,0,4,0,2,1,2,0.5025,0.493054,0.739167,0.274879,2034,low
103,734240,2,0,4,0,3,1,2,0.4125,0.417283,0.819167,0.25061700000000003,2162,low
104,734241,2,0,4,0,4,1,1,0.4675,0.462742,0.540417,0.1107,3267,mid
105,734242,2,0,4,1,5,0,1,0.446667,0.441913,0.67125,0.226375,3126,mid
106,734243,2,0,4,0,6,0,3,0.430833,0.425492,0.888333,0.340808,795,low
107,734244,2,0,4,0,0,0,1,0.456667,0.445696,0.479583,0.303496,3744,mid
108,734245,2,0,4,0,1,1,1,0.5125,0.503146,0.5425,0.16356700000000002,3429,mid
109,734246,2,0,4,0,2,1,2,0.505833,0.489258,0.665833,0.157971,3204,mid
110,734247,2,0,4,0,3,1,1,0.595,0.564392,0.614167,0.241925,3944,mid
111,734248,2,0,4,0,4,1,1,0.459167,0.453892,0.407083,0.325258,4189,mid
112,734249,2,0,4,0,5,1,2,0.336667,0.321954,0.729583,0.219521,1683,low
113,734250,2,0,4,0,6,0,2,0.46,0.450121,0.887917,0.230725,4036,mid
114,734251,2,0,4,0,0,0,2,0.581667,0.551763,0.810833,0.192175,4191,mid
115,734252,2,0,4,0,1,1,1,0.606667,0.5745,0.776667,0.185333,4073,mid
116,734253,2,0,4,0,2,1,1,0.631667,0.594083,0.729167,0.3265,4400,mid
117,734254,2,0,4,0,3,1,2,0.62,0.575142,0.835417,0.3122,3872,mid
118,734255,2,0,4,0,4,1,2,0.6175,0.578929,0.700833,0.320908,4058,mid
119,734256,2,0,4,0,5,1,1,0.51,0.497463,0.457083,0.240063,4595,good
120,734257,2,0,4,0,6,0,1,0.4725,0.464021,0.503333,0.235075,5312,good
121,734258,2,0,5,0,0,0,2,0.451667,0.448204,0.762083,0.106354,3351,mid
122,734259,2,0,5,0,1,1,2,0.549167,0.532833,0.73,0.183454,4401,mid
123,734260,2,0,5,0,2,1,2,0.616667,0.582079,0.697083,0.342667,4451,good
124,734261,2,0,5,0,3,1,2,0.414167,0.40465,0.737083,0.328996,2633,low
125,734262,2,0,5,0,4,1,1,0.459167,0.441917,0.444167,0.295392,4433,good
126,734263,2,0,5,0,5,1,1,0.479167,0.474117,0.59,0.228246,4608,good
127,734264,2,0,5,0,6,0,1,0.52,0.512621,0.54125,0.16045,4714,good
128,734265,2,0,5,0,0,0,1,0.5283329999999999,0.518933,0.631667,0.0746375,4333,mid
129,734266,2,0,5,0,1,1,1,0.5325,0.525246,0.58875,0.17600000000000002,4362,mid
130,734267,2,0,5,0,2,1,1,0.5325,0.522721,0.489167,0.115671,4803,good
131,734268,2,0,5,0,3,1,1,0.5425,0.5284,0.632917,0.120642,4182,mid
132,734269,2,0,5,0,4,1,1,0.535,0.523363,0.7475,0.189667,4864,good
133,734270,2,0,5,0,5,1,2,0.5125,0.4943,0.863333,0.179725,4105,mid
134,734271,2,0,5,0,6,0,2,0.520833,0.500629,0.9225,0.13495,3409,mid
135,734272,2,0,5,0,0,0,2,0.5625,0.536,0.867083,0.152979,4553,good
136,734273,2,0,5,0,1,1,1,0.5775,0.550512,0.787917,0.126871,3958,mid
137,734274,2,0,5,0,2,1,2,0.561667,0.538529,0.837917,0.277354,4123,mid
138,734275,2,0,5,0,3,1,2,0.55,0.527158,0.87,0.201492,3855,mid
139,734276,2,0,5,0,4,1,2,0.530833,0.510742,0.829583,0.10821300000000003,4575,good
140,734277,2,0,5,0,5,1,1,0.536667,0.529042,0.719583,0.125013,4917,good
141,734278,2,0,5,0,6,0,1,0.6025,0.571975,0.626667,0.12065,5805,good
142,734279,2,0,5,0,0,0,1,0.604167,0.5745,0.749583,0.148008,4660,good
143,734280,2,0,5,0,1,1,2,0.631667,0.590296,0.81,0.233842,4274,mid
144,734281,2,0,5,0,2,1,2,0.66,0.604813,0.740833,0.207092,4492,good
145,734282,2,0,5,0,3,1,1,0.660833,0.615542,0.69625,0.15423299999999998,4978,good
146,734283,2,0,5,0,4,1,1,0.708333,0.654688,0.6775,0.199642,4677,good
147,734284,2,0,5,0,5,1,1,0.681667,0.637008,0.65375,0.240679,4679,good
148,734285,2,0,5,0,6,0,1,0.655833,0.612379,0.729583,0.230092,4758,good
149,734286,2,0,5,0,0,0,1,0.6675,0.61555,0.81875,0.213938,4788,good
150,734287,2,0,5,1,1,0,1,0.733333,0.671092,0.685,0.131225,4098,mid
151,734288,2,0,5,0,2,1,1,0.775,0.725383,0.636667,0.111329,3982,mid
152,734289,2,0,6,0,3,1,2,0.764167,0.720967,0.677083,0.207092,3974,mid
153,734290,2,0,6,0,4,1,1,0.715,0.643942,0.305,0.292287,4968,good
154,734291,2,0,6,0,5,1,1,0.62,0.587133,0.354167,0.253121,5312,good
155,734292,2,0,6,0,6,0,1,0.635,0.594696,0.45625,0.123142,5342,good
156,734293,2,0,6,0,0,0,2,0.648333,0.616804,0.6525,0.138692,4906,good
157,734294,2,0,6,0,1,1,1,0.678333,0.621858,0.6,0.121896,4548,good
158,734295,2,0,6,0,2,1,1,0.7075,0.65595,0.597917,0.187808,4833,good
159,734296,2,0,6,0,3,1,1,0.775833,0.727279,0.6220829999999999,0.136817,4401,mid
160,734297,2,0,6,0,4,1,2,0.808333,0.757579,0.568333,0.149883,3915,mid
161,734298,2,0,6,0,5,1,1,0.755,0.703292,0.605,0.14055399999999998,4586,good
162,734299,2,0,6,0,6,0,1,0.725,0.678038,0.654583,0.15485,4966,good
163,734300,2,0,6,0,0,0,1,0.6925,0.643325,0.747917,0.16356700000000002,4460,good
164,734301,2,0,6,0,1,1,1,0.635,0.601654,0.494583,0.30535,5020,good
165,734302,2,0,6,0,2,1,1,0.604167,0.591546,0.507083,0.269283,4891,good
166,734303,2,0,6,0,3,1,1,0.626667,0.587754,0.471667,0.16791199999999998,5180,good
167,734304,2,0,6,0,4,1,2,0.628333,0.595346,0.688333,0.206471,3767,mid
168,734305,2,0,6,0,5,1,1,0.649167,0.600383,0.735833,0.143029,4844,good
169,734306,2,0,6,0,6,0,1,0.696667,0.643954,0.670417,0.119408,5119,good
170,734307,2,0,6,0,0,0,2,0.699167,0.645846,0.666667,0.102,4744,good
171,734308,2,0,6,0,1,1,2,0.635,0.595346,0.74625,0.155475,4010,mid
172,734309,3,0,6,0,2,1,2,0.680833,0.637646,0.770417,0.171025,4835,good
173,734310,3,0,6,0,3,1,1,0.733333,0.693829,0.7075,0.172262,4507,good
174,734311,3,0,6,0,4,1,2,0.728333,0.693833,0.703333,0.238804,4790,good
175,734312,3,0,6,0,5,1,1,0.724167,0.656583,0.573333,0.222025,4991,good
176,734313,3,0,6,0,6,0,1,0.695,0.643313,0.483333,0.209571,5202,good
177,734314,3,0,6,0,0,0,1,0.68,0.637629,0.513333,0.0945333,5305,good
178,734315,3,0,6,0,1,1,2,0.6825,0.637004,0.658333,0.10758800000000003,4708,good
179,734316,3,0,6,0,2,1,1,0.744167,0.692558,0.634167,0.144283,4648,good
180,734317,3,0,6,0,3,1,1,0.728333,0.654688,0.497917,0.261821,5225,good
181,734318,3,0,6,0,4,1,1,0.696667,0.637008,0.434167,0.185312,5515,good
182,734319,3,0,7,0,5,1,1,0.7225,0.652162,0.39625,0.102608,5362,good
183,734320,3,0,7,0,6,0,1,0.738333,0.667308,0.444583,0.11506199999999997,5119,good
184,734321,3,0,7,0,0,0,2,0.716667,0.668575,0.6825,0.228858,4649,good
185,734322,3,0,7,1,1,0,2,0.726667,0.665417,0.637917,0.08147919999999999,6043,good
186,734323,3,0,7,0,2,1,1,0.746667,0.696338,0.590417,0.12625799999999998,4665,good
187,734324,3,0,7,0,3,1,1,0.72,0.685633,0.743333,0.149883,4629,good
188,734325,3,0,7,0,4,1,1,0.75,0.686871,0.65125,0.1592,4592,good
189,734326,3,0,7,0,5,1,2,0.709167,0.6704829999999999,0.757917,0.225129,4040,mid
190,734327,3,0,7,0,6,0,1,0.733333,0.664158,0.609167,0.16791199999999998,5336,good
191,734328,3,0,7,0,0,0,1,0.7475,0.690025,0.578333,0.183471,4881,good
192,734329,3,0,7,0,1,1,1,0.7625,0.729804,0.635833,0.282337,4086,mid
193,734330,3,0,7,0,2,1,1,0.794167,0.739275,0.559167,0.200254,4258,mid
194,734331,3,0,7,0,3,1,1,0.746667,0.689404,0.631667,0.146133,4342,mid
195,734332,3,0,7,0,4,1,1,0.680833,0.635104,0.47625,0.240667,5084,good
196,734333,3,0,7,0,5,1,1,0.663333,0.624371,0.59125,0.182833,5538,good
197,734334,3,0,7,0,6,0,1,0.686667,0.638263,0.585,0.208342,5923,good
198,734335,3,0,7,0,0,0,1,0.719167,0.669833,0.604167,0.245033,5302,good
199,734336,3,0,7,0,1,1,1,0.746667,0.703925,0.65125,0.215804,4458,good
200,734337,3,0,7,0,2,1,1,0.776667,0.747479,0.650417,0.1306,4541,good
201,734338,3,0,7,0,3,1,1,0.768333,0.74685,0.707083,0.113817,4332,mid
202,734339,3,0,7,0,4,1,2,0.815,0.826371,0.69125,0.222021,3784,mid
203,734340,3,0,7,0,5,1,1,0.848333,0.8408959999999999,0.580417,0.1331,3387,mid
204,734341,3,0,7,0,6,0,1,0.849167,0.804287,0.5,0.131221,3285,mid
205,734342,3,0,7,0,0,0,1,0.83,0.794829,0.550833,0.16917100000000002,3606,mid
206,734343,3,0,7,0,1,1,1,0.743333,0.720958,0.757083,0.0908083,3840,mid
207,734344,3,0,7,0,2,1,1,0.771667,0.696979,0.540833,0.200258,4590,good
208,734345,3,0,7,0,3,1,1,0.775,0.690667,0.402917,0.183463,4656,good
209,734346,3,0,7,0,4,1,1,0.779167,0.7399,0.583333,0.178479,4390,mid
210,734347,3,0,7,0,5,1,1,0.838333,0.785967,0.5425,0.174138,3846,mid
211,734348,3,0,7,0,6,0,1,0.804167,0.728537,0.465833,0.168537,4475,good
212,734349,3,0,7,0,0,0,1,0.805833,0.729796,0.480833,0.16481300000000002,4302,mid
213,734350,3,0,8,0,1,1,1,0.771667,0.703292,0.550833,0.156717,4266,mid
214,734351,3,0,8,0,2,1,1,0.783333,0.707071,0.49125,0.20585,4845,good
215,734352,3,0,8,0,3,1,2,0.731667,0.679937,0.6575,0.13558299999999998,3574,mid
216,734353,3,0,8,0,4,1,2,0.71,0.664788,0.7575,0.19715,4576,good
217,734354,3,0,8,0,5,1,1,0.710833,0.656567,0.630833,0.184696,4866,good
218,734355,3,0,8,0,6,0,2,0.716667,0.676154,0.755,0.22825,4294,mid
219,734356,3,0,8,0,0,0,1,0.7425,0.715292,0.7529170000000001,0.201487,3785,mid
220,734357,3,0,8,0,1,1,1,0.765,0.703283,0.592083,0.192175,4326,mid
221,734358,3,0,8,0,2,1,1,0.775,0.724121,0.570417,0.151121,4602,good
222,734359,3,0,8,0,3,1,1,0.766667,0.684983,0.424167,0.200258,4780,good
223,734360,3,0,8,0,4,1,1,0.7175,0.651521,0.42375,0.164796,4792,good
224,734361,3,0,8,0,5,1,1,0.708333,0.654042,0.415,0.125621,4905,good
225,734362,3,0,8,0,6,0,2,0.685833,0.645858,0.729583,0.211454,4150,mid
226,734363,3,0,8,0,0,0,2,0.676667,0.624388,0.8175,0.222633,3820,mid
227,734364,3,0,8,0,1,1,1,0.665833,0.616167,0.712083,0.208954,4338,mid
228,734365,3,0,8,0,2,1,1,0.700833,0.645837,0.578333,0.236329,4725,good
229,734366,3,0,8,0,3,1,1,0.723333,0.666671,0.575417,0.14366700000000002,4694,good
230,734367,3,0,8,0,4,1,1,0.711667,0.662258,0.654583,0.233208,3805,mid
231,734368,3,0,8,0,5,1,2,0.685,0.633221,0.722917,0.139308,4153,mid
232,734369,3,0,8,0,6,0,1,0.6975,0.648996,0.674167,0.104467,5191,good
233,734370,3,0,8,0,0,0,1,0.710833,0.675525,0.77,0.248754,3873,mid
234,734371,3,0,8,0,1,1,1,0.691667,0.638254,0.47,0.27675,4758,good
235,734372,3,0,8,0,2,1,1,0.640833,0.606067,0.455417,0.146763,5895,good
236,734373,3,0,8,0,3,1,1,0.673333,0.630692,0.605,0.253108,5130,good
237,734374,3,0,8,0,4,1,2,0.684167,0.645854,0.771667,0.210833,3542,mid
238,734375,3,0,8,0,5,1,1,0.7,0.659733,0.76125,0.0839625,4661,good
239,734376,3,0,8,0,6,0,2,0.68,0.635556,0.85,0.375617,1115,low
240,734377,3,0,8,0,0,0,1,0.707059,0.6479590000000001,0.561765,0.304659,4334,mid
241,734378,3,0,8,0,1,1,1,0.636667,0.607958,0.554583,0.159825,4634,good
242,734379,3,0,8,0,2,1,1,0.639167,0.594704,0.548333,0.12500799999999998,5204,good
243,734380,3,0,8,0,3,1,1,0.656667,0.611121,0.597917,0.08333330000000001,5058,good
244,734381,3,0,9,0,4,1,1,0.655,0.614921,0.639167,0.141796,5115,good
245,734382,3,0,9,0,5,1,2,0.643333,0.604808,0.727083,0.139929,4727,good
246,734383,3,0,9,0,6,0,1,0.669167,0.633213,0.716667,0.185325,4484,good
247,734384,3,0,9,0,0,0,1,0.709167,0.665429,0.742083,0.206467,4940,good
248,734385,3,0,9,1,1,0,2,0.673333,0.625646,0.790417,0.212696,3351,mid
249,734386,3,0,9,0,2,1,3,0.54,0.5152,0.886957,0.343943,2710,low
250,734387,3,0,9,0,3,1,3,0.599167,0.544229,0.917083,0.0970208,1996,low
